position,num_vesicles,area_vesicles,area_percent,batch
C03,35,22125.058961987816,0.02110010048102165,Soup solution
C04,0,0.0,0.0,Soup solution
C05,0,0.0,0.0,Soup solution
C06,18,28400.782986615126,0.027085097300162397,Soup solution
C07,1,1368.5562997200536,0.0013051569935989499,Soup solution
C08,0,0.0,0.0,Soup solution
C09,2,1000.2045610866503,0.0009538694010607,Soup solution
C10,0,0.0,0.0,Soup solution
C11,2,3425.5140896579705,0.0032668248077945,Soup solution
C12,0,141.7643684932394,0.00013519703721355,Soup solution
C13,0,0.0,0.0,Soup solution
C14,0,0.0,0.0,Soup solution
C15,2,2116.2553512744244,0.00201821837546765,Soup solution
C16,0,0.0,0.0,Soup solution
C17,0,0.0,0.0,Soup solution
C18,4,2633.0473427899456,0.00251106962470045,Soup solution
C19,0,0.0,0.0,Soup solution
C20,5,1978.4179735981722,0.00188676640853705,Soup solution
C21,0,0.0,0.0,Soup solution
C22,0,0.0,0.0,Soup solution
D03,8,3195.785126864217,0.00304773819624345,Soup solution
D04,4,2940.5307237600464,0.0028043086278534,Soup solution
D05,0,245.4369260617026,0.0002340668926827,Soup solution
D06,2,1000.5972601683491,0.0009542439080890001,Soup solution
D07,5,6387.250563829748,0.0060913568151757,Soup solution
D08,49,69240.70208511903,0.06603307922851465,Soup solution
D09,14,11440.109648047233,0.010910138748213949,Soup solution
D10,4,6311.459641061894,0.0060190769587153,Soup solution
D11,4,1811.1281647945154,0.0017272264144845002,Soup solution
D12,42,56523.535023387565,0.053905043624293804,Soup solution
D13,9,15531.248681184541,0.014811752968964101,Soup solution
D14,26,23843.902842583135,0.02273931774385745,Soup solution
D15,20,22918.703806100937,0.0218569791852006,Soup solution
D16,24,21616.51365118797,0.02061511387938305,Soup solution
D17,1,407.2289477215769,0.0003883637883392,Soup solution
D18,102,163726.85003540394,0.15614209178486244,Soup solution
D19,21,9936.464864222817,0.0094761513368824,Soup solution
D20,4,1728.6613576377836,0.00164857993854305,Soup solution
D21,4,1190.270916628833,0.0011351308027542,Soup solution
D22,6,4114.700978039231,0.00392408464244765,Soup solution
E03,30,12185.845204193107,0.0116213275949412,Soup solution
E04,36,22483.98592266045,0.0214423999048809,Soup solution
E05,36,21154.699531110266,0.020174693614111148,Soup solution
E06,6,7100.7847952763295,0.006771836085583,Soup solution
E07,20,7778.190711206629,0.0074178607093874005,Soup solution
E08,28,13732.294187922686,0.013096136272356649,Soup solution
E09,18,6847.493887580653,0.0065302790523344,Soup solution
E10,19,14548.715578774332,0.0138747363841765,Soup solution
E11,30,31851.03711842012,0.03037551605073935,Soup solution
E12,4,3163.191103083223,0.00301665411289515,Soup solution
E13,0,265.4645792283375,0.00025316675112565,Soup solution
E14,12,11156.188211979055,0.01063937016675855,Soup solution
E15,2,1070.4976967107218,0.0010209061591249999,Soup solution
E16,0,0.0,0.0,Soup solution
