position,num_vesicles,area_vesicles,area_percent
C03,0,0.0,0.0
C04,0,0.0,0.0
C05,0,0.0,0.0
C06,0,0.0,0.0
C07,0,0.0,0.0
C08,0,0.0,0.0
C09,0,0.0,0.0
C10,0,0.0,0.0
C11,0,0.0,0.0
C12,0,0.0,0.0
C13,0,0.0,0.0
C14,0,0.0,0.0
C15,0,0.0,0.0
C16,0,0.0,0.0
C17,0,0.0,0.0
C18,0,0.0,0.0
C19,0,0.0,0.0
C20,0,0.0,0.0
C21,0,0.0,0.0
C22,0,0.0,0.0
D03,0,0.0,0.0
D04,0,0.0,0.0
D05,0,0.0,0.0
D06,0,0.0,0.0
D07,0,0.0,0.0
D08,0,0.0,0.0
D09,0,0.0,0.0
D10,0,0.0,0.0
D11,0,0.0,0.0
D12,0,0.0,0.0
D13,0,0.0,0.0
D14,0,0.0,0.0
D15,0,0.0,0.0
D16,0,0.0,0.0
D17,0,0.0,0.0
D18,4,8615.817852470009,0.0082166842007351
D19,0,0.0,0.0
D20,0,0.0,0.0
D21,0,0.0,0.0
D22,0,0.0,0.0
E03,0,0.0,0.0
E04,0,0.0,0.0
E05,0,0.0,0.0
E06,0,0.0,0.0
E07,0,141.7643684932394,0.00013519703721355
E08,5,2367.582763561608,0.0022579028735748
E09,0,0.0,0.0
E10,2,1170.2432634621978,0.0011160309443113
E11,0,0.0,0.0
E12,0,0.0,0.0
E13,0,0.0,0.0
E14,0,0.0,0.0
E15,0,0.0,0.0
E16,0,0.0,0.0
E17,1,368.744437715102,0.00035166209956655003
E18,0,0.0,0.0
E19,0,0.0,0.0
E20,0,0.0,0.0
E21,0,0.0,0.0
E22,0,0.0,0.0
F03,0,0.0,0.0
F04,0,0.0,0.0
F05,0,0.0,0.0
F06,0,0.0,0.0
F07,6,6696.304741126644,0.0063860938464418
F08,3,5438.489582445631,0.0051865478348213
F09,1,380.9181092477624,0.0003632718174436
F10,0,245.4369260617026,0.0002340668926827
F11,6,17163.698763806136,0.01636857868557555
F12,7,5050.110190645593,0.00481616038384015
F13,5,5277.875658030852,0.0050333744602497
F14,2,801.498825747096,0.00076436884474475
F15,0,0.0,0.0
F16,0,0.0,0.0
F17,0,0.0,0.0
F18,0,0.0,0.0
F19,0,0.0,0.0
F20,0,0.0,0.0
F21,4,4011.028420470768,0.00382521478697845
F22,2,1119.1923828413637,0.00106734503063325
G03,0,265.4645792283375,0.00025316675112565
G04,0,0.0,0.0
G05,18,12112.410475915447,0.011551294780650551
G06,14,10696.337587309852,0.010200822436628149
G07,0,0.0,0.0
G08,2,1240.1437000045707,0.0011826931953473501
G09,2,2620.8736712572845,0.00249945990682335
G10,0,0.0,0.0
G11,1,399.37496608760244,0.0003808736477733
G12,0,0.0,0.0
G13,0,141.7643684932394,0.00013519703721355
G14,0,0.0,0.0
G15,7,3589.2696067263387,0.0034229942385923997
G16,1,908.7056750508477,0.00086660926346855
G17,7,3565.707661824415,0.0034005238168948503
G18,4,1365.414707066464,0.0013021609373726
G19,0,0.0,0.0
G20,0,0.0,0.0
G21,2,2110.364865048944,0.00201260077004325
G22,4,6108.434215823654,0.0058254568250881
H03,0,0.0,0.0
H04,0,0.0,0.0
H05,0,0.0,0.0
H06,0,0.0,0.0
H07,0,0.0,0.0
H08,0,0.0,0.0
H09,0,0.0,0.0
H10,0,0.0,0.0
H11,0,0.0,0.0
H12,2,2294.933433447344,0.0021886190733407
H13,0,0.0,0.0
H14,0,0.0,0.0
H15,0,0.0,0.0
H16,0,0.0,0.0
H17,0,265.4645792283375,0.00025316675112565
H18,0,0.0,0.0
H19,0,0.0,0.0
H20,0,0.0,0.0
H21,0,0.0,0.0
H22,0,0.0,0.0
I03,0,0.0,0.0
I04,0,0.0,0.0
I05,0,0.0,0.0
I06,0,0.0,0.0
I07,0,0.0,0.0
I08,0,0.0,0.0
I09,0,0.0,0.0
I10,0,0.0,0.0
I11,0,0.0,0.0
I12,0,0.0,0.0
I13,2,2478.323904600648,0.00236351385555325
I14,4,3813.1080832946113,0.0036364632447191004
I15,0,0.0,0.0
I16,0,0.0,0.0
I17,1,2880.4477642601414,0.00274700905252465
I18,0,0.0,0.0
I19,0,0.0,0.0
I20,0,0.0,0.0
I21,1,286.67032964006864,0.00027339013065340003
I22,0,0.0,0.0
J03,0,0.0,0.0
J04,0,0.0,0.0
J05,0,0.0,0.0
J06,2,1075.995483854504,0.0010261492575211
J07,0,0.0,0.0
J08,0,0.0,0.0
J09,0,0.0,0.0
J10,0,113.49003461093127,0.0001082325311765
J11,0,0.0,0.0
J12,0,0.0,0.0
J13,0,0.0,0.0
J14,0,0.0,0.0
J15,0,0.0,0.0
J16,0,0.0,0.0
J17,0,0.0,0.0
J18,0,0.0,0.0
J19,0,0.0,0.0
J20,0,0.0,0.0
J21,0,0.0,0.0
J22,0,0.0,0.0
K03,6,4878.107992861552,0.00465212630544805
K04,6,9024.224897436681,0.00860617151015915
K05,0,0.0,0.0
K06,4,2581.2110640057135,0.00246163469696585
K07,2,591.7975161199773,0.00056438209163655
K08,0,173.18029502913734,0.0001651575994769
K09,4,2626.3714584010672,0.00250470300521945
K10,1,1018.2687188447917,0.00097109672436215
K11,0,0.0,0.0
K12,0,0.0,0.0
K13,0,0.0,0.0
K14,0,113.49003461093127,0.0001082325311765
K15,0,0.0,0.0
K16,0,726.1006020609409,0.0006924634953126
K17,0,0.0,0.0
K18,0,0.0,0.0
K19,0,0.0,0.0
K20,3,2016.1170854412494,0.0019227190832531
K21,19,12770.966835924206,0.01217934306709685
K22,14,16338.24529407542,0.015581364912104951
L11,0,0.0,0.0
L12,0,173.18029502913734,0.0001651575994769
L13,6,6519.9828534439175,0.00621794019073855
L14,1,286.67032964006864,0.00027339013065340003
L15,2,629.8893270447535,0.0006007092733809
L16,4,1768.323964889355,0.0016864051484006002
L17,4,1369.3416978834512,0.0013059060076554998
L18,4,1816.233252856599,0.00173209500585225
L19,12,10467.394022679491,0.009982484839133651
L20,7,3846.487505239003,0.0036682963421239
L21,12,11791.575326167589,0.0112453225385356
L22,8,4920.912192766712,0.0046929475715319
