position,num_vesicles,area_vesicles,area_percent
C03,0,0.0,0.0
C04,40,48731.992543403176,0.046474449675944454
C05,35,41596.65022893735,0.03966965697187165
C06,40,45762.40208759742,0.04364242752799735
C07,0,0.0,0.0
C08,2,1299.4412613410782,0.00123924375661945
C09,0,0.0,0.0
C10,0,173.18029502913734,0.0001651575994769
C11,0,0.0,0.0
C12,6,4687.64893823767,0.00447049039672625
C13,2,1794.2421042814706,0.0017111226122679
C14,1,1173.7775551974864,0.0011194015075659
C15,0,0.0,0.0
C16,0,0.0,0.0
C17,0,0.0,0.0
