position,num_vesicles,area_vesicles,area_percent,batch
I15,0,0.0,0.0,Magnesium chloride
I16,2,3271.576049632071,0.0031200180527039,Magnesium chloride
I17,0,0.0,0.0,Magnesium chloride
I18,0,0.0,0.0,Magnesium chloride
I19,0,672.6935269499145,0.00064153053946485,Magnesium chloride
I20,0,0.0,0.0,Magnesium chloride
I21,2,1568.0474332230056,0.00149540656397145,Magnesium chloride
I22,0,0.0,0.0,Magnesium chloride
J03,0,795.2156404399165,0.00075837673229205,Magnesium chloride
J04,0,0.0,0.0,Magnesium chloride
J05,2,4567.48301923786,0.0043558912460688,Magnesium chloride
J06,2,1514.640358111979,0.0014444736081237,Magnesium chloride
J07,0,0.0,0.0,Magnesium chloride
J08,0,0.0,0.0,Magnesium chloride
J09,0,226.1946710584651,0.0002157160482964,Magnesium chloride
J10,0,0.0,0.0,Magnesium chloride
J11,0,0.0,0.0,Magnesium chloride
J12,0,0.0,0.0,Magnesium chloride
J13,0,0.0,0.0,Magnesium chloride
J14,0,0.0,0.0,Magnesium chloride
J15,0,0.0,0.0,Magnesium chloride
J16,0,0.0,0.0,Magnesium chloride
J17,0,0.0,0.0,Magnesium chloride
J18,0,0.0,0.0,Magnesium chloride
J19,0,0.0,0.0,Magnesium chloride
J20,0,0.0,0.0,Magnesium chloride
J21,0,0.0,0.0,Magnesium chloride
J22,6,11784.114043615315,0.0112382069049981,Magnesium chloride
K03,0,0.0,0.0,Magnesium chloride
K04,0,0.0,0.0,Magnesium chloride
K05,0,0.0,0.0,Magnesium chloride
K06,0,0.0,0.0,Magnesium chloride
K07,0,0.0,0.0,Magnesium chloride
K08,0,0.0,0.0,Magnesium chloride
K09,0,0.0,0.0,Magnesium chloride
K10,2,1566.869335977909,0.0014942830428866,Magnesium chloride
K11,0,0.0,0.0,Magnesium chloride
K12,0,0.0,0.0,Magnesium chloride
K13,0,0.0,0.0,Magnesium chloride
K14,0,0.0,0.0,Magnesium chloride
K15,3,1570.0109286314992,0.00149727909911295,Magnesium chloride
K16,0,0.0,0.0,Magnesium chloride
K17,0,0.0,0.0,Magnesium chloride
K18,4,2852.958828541231,0.0027207935605442,Magnesium chloride
K19,0,763.7997139040185,0.0007284161700287,Magnesium chloride
K20,2,1066.9634049754334,0.0010175355958704,Magnesium chloride
K21,0,0.0,0.0,Magnesium chloride
K22,2,4581.227487097316,0.00436899899205905,Magnesium chloride
L11,0,628.3185307179587,0.0005992112452678,Magnesium chloride
L12,2,3528.0085499813376,0.0033645711421788,Magnesium chloride
L13,0,0.0,0.0,Magnesium chloride
L14,0,0.0,0.0,Magnesium chloride
L15,0,991.5651812892785,0.00094563024643825,Magnesium chloride
L16,2,3098.7884536846323,0.00295523496025525,Magnesium chloride
L17,1,1957.6049222681395,0.00186691753603755,Magnesium chloride
L18,0,0.0,0.0,Magnesium chloride
L19,0,0.0,0.0,Magnesium chloride
L20,0,795.2156404399165,0.00075837673229205,Magnesium chloride
L21,2,1510.3206682132932,0.00144035403081245,Magnesium chloride
L22,1,1433.351648200343,0.0013669506532672,Magnesium chloride
