position,num_vesicles,area_vesicles,area_percent,batch
C03,36.0,15656.91238732813,0.014931595218017648,Water
C04,0.0,0.0,0.0,Water
C05,0.0,0.0,0.0,Water
C06,0.0,0.0,0.0,Water
C07,382.0,161482.96748257746,0.1540021586251997,Water
C08,0.0,0.0,0.0,Water
C09,62.0,28969.803955996576,0.02762775798415805,Water
C10,0.0,0.0,0.0,Water
C11,0.0,0.0,0.0,Water
C12,33.0,35221.96603572197,0.033590284381601304,Water
C13,0.0,0.0,0.0,Water
C14,0.0,0.0,0.0,Water
C15,0.0,0.0,0.0,Water
C16,54.0,23303.941605247386,0.0222243705799554,Water
C17,0.0,0.0,0.0,Water
C18,55.0,23834.870763704057,0.022730704082206697,Water
C19,0.0,0.0,0.0,Water
C20,0.0,0.0,0.0,Water
C21,0.0,0.0,0.0,Water
C22,2.0,2821.5429020053325,0.0026908329982808,Water
D03,0.0,0.0,0.0,Water
D04,15.0,7660.380986697011,0.00730550860089965,Water
D05,0.0,0.0,0.0,Water
D06,115.0,49015.12858130795,0.04674446924334325,Water
D07,133.0,65956.9523639543,0.0629014514579337,Water
D08,0.0,286.2776305583699,0.00027301562362515,Water
D09,0.0,0.0,0.0,Water
D10,19.0,12015.021103654164,0.011458417037634,Water
D11,0.0,0.0,0.0,Water
D12,52.0,22714.500283617603,0.02166223553048855,Water
D13,5.0,1771.8582566246437,0.0016897757116552002,Water
D14,221.0,104039.33851076977,0.09921964503361674,Water
D15,24.0,10148.522368340125,0.00967838513216025,Water
D16,808.0,429411.34074949275,0.4095185668463638,Water
D17,4.0,1156.891494684441,0.00110329770534935,Water
D18,128.0,71212.05147524664,0.0679131045105425,Water
D19,182.0,72158.84896122225,0.0688160409557554,Water
D20,16.0,5565.331385834317,0.0053075136049597505,Water
D21,0.0,0.0,0.0,Water
D22,18.0,13088.660393018476,0.012482319252985399,Water
E03,0.0,0.0,0.0,Water
E04,492.0,276206.8626082061,0.263411390884596,Water
E05,0.0,0.0,0.0,Water
E06,0.0,0.0,0.0,Water
E07,1.0,811.316302789564,0.00077373152045205,Water
